"washington, district of columbia","0.5945747954029375"
"washington, arkansas","0.4530499821519641"
"washington, connecticut","0.4682593387449733"
"washington, georgia","0.47039978984207714"
"washington, illinois","0.5042218963600055"
"washington, indiana","0.5191268539469993"
"washington, iowa","0.5192813438817714"
"washington, kansas","0.5559935274943315"
"washington, kentucky","0.49819680213455664"
"washington, louisiana","0.5015357812633165"
"washington, maine","0.45053667848707524"
"washington, massachusetts","0.44277237270311653"
"washington, mississippi","0.5216202028029285"
"washington, missouri","0.483624257950262"
"washington, nebraska","0.47601066517306634"
"washington, new hampshire","0.46854302657398617"
"washington, new jersey","0.5895317603571117"
"washington, north carolina","0.4792347962298933"
"washington, ohio","0.4529984721469871"
"washington, oklahoma","0.48773825820222955"
"washington, pennsylvania","0.49879428481301546"
"washington, utah","0.5670539085695427"
"washington, vermont","0.4593296070941312"
"washington, virginia","0.4464269815524106"
"washington, west virginia","0.5003223012618181"
"bristol, washington","0.4035707565765747"
"clinton, washington","0.5264059477078729"
"georgetown, washington dc","0.5945747954029375"
"arlington, washington","0.5264059477078729"
"burlington, washington","0.43120656709150174"
"manchester, washington","0.5577327446848118"
"milton, washington","0.4979148414924401"
"newport, washington","0.5165033803363427"
"auburn, washington","0.5771690965277592"
"centerville, washington county, pennsylvania","0.4988276825542414"
"centerville, washington","0.5226545052456768"
"dayton, washington","0.4834348412311542"
"mount vernon, washington","0.43120656709150174"
"kingston, washington","0.5577327446848118"
"riverside, washington","0.506892701363467"
